epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
,,,,,,,0.0005,0
0,419.6938781738281,3.579232692718506,418.2505798339844,0.11542744934558868,1.327808141708374,0.06136725842952728,,59
,,,,,,,0.0005,60
1,2.4335103034973145,3.2386937141418457,2.4325671195983887,0.0005913995555602014,0.000352068105712533,0.046779561787843704,,119
,,,,,,,0.0005,120
2,2.408867120742798,3.176865577697754,2.408689022064209,0.00013238337123766541,4.5915712689748034e-05,0.04697827249765396,,179
,,,,,,,0.0005,180
3,2.3187456130981445,3.0174643993377686,2.3186850547790527,3.984392969869077e-05,1.9978422642452642e-05,0.04557273909449577,,239
,,,,,,,0.0005,240
4,2.2867634296417236,2.9377198219299316,2.2867400646209717,1.669482298893854e-05,6.027176368661458e-06,0.04277743026614189,,299
,,,,,,,0.0005,300
5,2.2748513221740723,2.865001678466797,2.27483868598938,1.24772541312268e-05,8.164581117853231e-07,0.040655266493558884,,359
,,,,,,,0.0005,360
6,2.27012300491333,2.8288638591766357,2.2701122760772705,1.0919674423348624e-05,1.1064941674021611e-07,0.038100190460681915,,419
,,,,,,,0.0005,420
7,2.266860008239746,2.813216209411621,2.266849994659424,1.027579764922848e-05,4.025083200076551e-08,0.03525140509009361,,479
,,,,,,,0.0005,480
8,2.2648580074310303,2.8043174743652344,2.264848232269287,9.889773536997382e-06,1.6307742711774154e-08,0.03211984783411026,,539
,,,,,,,0.0005,540
9,2.2629804611206055,2.7986862659454346,2.2629709243774414,9.768585186975542e-06,8.611795720980808e-09,0.0288846455514431,,599
,,,,,,,0.0005,600
10,2.261776924133301,2.7947170734405518,2.2617673873901367,9.677583875600249e-06,4.2723864446259086e-09,0.025763636454939842,,659
,,,,,,,0.0005,660
11,2.2609705924987793,2.7921597957611084,2.2609610557556152,9.372842214361299e-06,1.979572727961454e-09,0.02332441881299019,,719
,,,,,,,0.0005,720
12,2.2590324878692627,2.7908027172088623,2.259023904800415,9.193682672048453e-06,1.548355110791988e-09,0.02198946662247181,,779
,,,,,,,0.0005,780
13,2.2571635246276855,2.789139747619629,2.2571544647216797,8.895695827959571e-06,1.5174793643879525e-09,0.021897999569773674,,839
,,,,,,,0.0005,840
14,2.255615234375,2.788115978240967,2.255606174468994,8.51946333568776e-06,1.4188226149514094e-09,0.023075353354215622,,899
,,,,,,,0.0005,900
15,2.2539191246032715,2.7867343425750732,2.2539117336273193,8.055831131059676e-06,1.6413870262965702e-09,0.025545695796608925,,959
,,,,,,,0.0005,960
16,2.25174880027771,2.786444902420044,2.2517406940460205,7.594432645419147e-06,1.5962225985433065e-09,0.029272008687257767,,1019
,,,,,,,0.0005,1020
17,2.2469375133514404,2.7858622074127197,2.2469301223754883,7.408425972244004e-06,1.5649763707159536e-09,0.03404691070318222,,1079
,,,,,,,0.0005,1080
18,2.24099063873291,2.7861318588256836,2.2409825325012207,7.405101769109024e-06,1.5638739192525009e-09,0.0394795723259449,,1139
,,,,,,,0.0005,1140
19,2.2356271743774414,2.786013603210449,2.2356197834014893,7.367993930529337e-06,1.3209788818357993e-09,0.045199889689683914,,1199
,,,,,,,0.0005,1200
20,2.2304935455322266,2.786487340927124,2.230485439300537,7.449270015058573e-06,1.2562243467684198e-09,0.05129079148173332,,1259
,,,,,,,0.0005,1260
21,2.224900007247925,2.786569595336914,2.2248928546905518,7.4940248850907665e-06,1.119028536500366e-09,0.057635270059108734,,1319
,,,,,,,0.0005,1320
22,2.2198562622070312,2.7871243953704834,2.219848394393921,7.532476956839673e-06,1.0805281114301124e-09,0.06398720294237137,,1379
,,,,,,,0.0005,1380
23,2.216721773147583,2.787346124649048,2.216714382171631,7.4071735980396625e-06,9.840985804032698e-10,0.06944531947374344,,1439
,,,,,,,0.0005,1440
24,2.213869094848633,2.788069009780884,2.2138617038726807,7.351028216362465e-06,9.908196485497456e-10,0.07492167502641678,,1499
,,,,,,,0.0005,1500
25,2.212459087371826,2.7884390354156494,2.212451934814453,7.187704341049539e-06,9.569022241251446e-10,0.07860136032104492,,1559
,,,,,,,0.0005,1560
26,2.2095072269439697,2.78933048248291,2.2094998359680176,7.25713789506699e-06,9.46439704385682e-10,0.08472754061222076,,1619
,,,,,,,0.0005,1620
27,2.2100160121917725,2.7897768020629883,2.2100093364715576,7.005795851000585e-06,8.126866957169909e-10,0.08473919332027435,,1679
,,,,,,,0.0005,1680
28,2.2071382999420166,2.7906746864318848,2.2071316242218018,7.19371701052296e-06,7.120012357475503e-10,0.09118479490280151,,1739
,,,,,,,0.0005,1740
29,2.207279682159424,2.791196346282959,2.207272529602051,6.993780971242813e-06,5.691768723004031e-10,0.08923731744289398,,1799
,,,,,,,0.0005,1800
30,2.2040891647338867,2.7920920848846436,2.2040817737579346,7.2607313086336944e-06,5.42961342553383e-10,0.09369786828756332,,1859
,,,,,,,0.0005,1860
31,2.2016522884368896,2.792715072631836,2.2016451358795166,7.255995569721563e-06,5.847337614106607e-10,0.09128008782863617,,1919
,,,,,,,0.0005,1920
32,2.1980464458465576,2.793750762939453,2.1980395317077637,7.5943903539155144e-06,8.784856175836353e-10,0.09449323266744614,,1979
,,,,,,,0.0005,1980
33,2.190998077392578,2.7943310737609863,2.1909899711608887,7.832433766452596e-06,1.3339193083439227e-09,0.09334813803434372,,2039
,,,,,,,0.0005,2040
34,2.184492588043213,2.795302629470825,2.1844842433929443,8.260043614427559e-06,1.974495456025238e-09,0.09760477393865585,,2099
,,,,,,,0.0005,2100
35,2.1730873584747314,2.795504331588745,2.173079252243042,8.450138921034522e-06,2.9260029954514266e-09,0.09968951344490051,,2159
,,,,,,,0.0005,2160
36,2.1651437282562256,2.796295642852783,2.165135383605957,8.779009476711508e-06,3.66953090136235e-09,0.11175255477428436,,2219
,,,,,,,0.0005,2220
37,2.1392364501953125,2.7957382202148438,2.1392269134521484,9.35928437684197e-06,6.142577557710638e-09,0.13225457072257996,,2279
,,,,,,,0.0005,2280
38,2.1102395057678223,2.796027421951294,2.1102287769317627,1.0463622857059818e-05,7.810167623745201e-09,0.1773754209280014,,2339
,,,,,,,0.0005,2340
39,2.0648999214172363,2.794642686843872,2.0648891925811768,1.0850309081433807e-05,4.9555239911569515e-09,0.20569051802158356,,2399
,,,,,,,0.0005,2400
40,2.032003879547119,2.7944531440734863,2.031991958618164,1.2611969395948108e-05,5.429525717914885e-09,0.26890310645103455,,2459
,,,,,,,0.0005,2460
41,1.983006477355957,2.7929866313934326,1.9829936027526855,1.3212456906330772e-05,2.3864079601310095e-09,0.2999701201915741,,2519
,,,,,,,0.0005,2520
42,1.9486600160598755,2.793452501296997,1.9486430883407593,1.67136804520851e-05,8.073845592093676e-09,0.3723197281360626,,2579
,,,,,,,0.0005,2580
43,1.8969155550003052,2.791747808456421,1.896897792816162,1.8203776562586427e-05,2.74984106596321e-08,0.40907007455825806,,2639
,,,,,,,0.0005,2640
44,1.869463562965393,2.7898824214935303,1.8694417476654053,2.185810444643721e-05,6.758350679092473e-08,0.43030622601509094,,2699
,,,,,,,0.0005,2700
45,1.841887354850769,2.7880237102508545,1.8418627977371216,2.4924973331508227e-05,4.305297451878687e-08,0.4409947991371155,,2759
,,,,,,,0.0005,2760
46,1.8332180976867676,2.78843092918396,1.8331892490386963,2.8115237000747584e-05,6.302843580385797e-09,0.45631685853004456,,2819
,,,,,,,0.0005,2820
47,1.813059687614441,2.7874672412872314,1.8130282163619995,3.057797584915534e-05,6.327895540891859e-09,0.4830436110496521,,2879
,,,,,,,0.0005,2880
48,1.8114535808563232,2.7866485118865967,1.811421513557434,3.1858988222666085e-05,7.25183646466121e-09,0.46332213282585144,,2939
,,,,,,,0.0005,2940
49,1.8133829832077026,2.785903215408325,1.8133505582809448,3.225629552616738e-05,7.965768489270886e-09,0.4510228633880615,,2999
,,,,,,,0.0005,3000
50,1.812968134880066,2.785517692565918,1.8129351139068604,3.2452502637170255e-05,1.1030769186959333e-08,0.4587596356868744,,3059
,,,,,,,0.0005,3060
51,1.8129627704620361,2.7853221893310547,1.812929391860962,3.287492654635571e-05,1.3599183112944502e-08,0.4602994918823242,,3119
,,,,,,,0.0005,3120
52,1.8136200904846191,2.7855186462402344,1.8135861158370972,3.360025948495604e-05,1.7095013404855308e-08,0.43989598751068115,,3179
,,,,,,,0.0005,3180
53,1.8052102327346802,2.7866952419281006,1.8051745891571045,3.54719850292895e-05,8.777061566433986e-08,0.4212302267551422,,3239
,,,,,,,0.0005,3240
54,1.8102728128433228,2.7865536212921143,1.810235857963562,3.6664860090240836e-05,1.0268105654631654e-07,0.43217453360557556,,3299
,,,,,,,0.0005,3300
55,1.7915973663330078,2.7854816913604736,1.7915600538253784,3.811648639384657e-05,3.2566379815079927e-08,0.46088525652885437,,3359
,,,,,,,0.0005,3360
56,1.7953041791915894,2.783201217651367,1.7952653169631958,3.846571780741215e-05,4.4625242168194745e-08,0.4518378973007202,,3419
,,,,,,,0.0005,3420
57,1.8026092052459717,2.7846200466156006,1.802572250366211,3.7396574043668807e-05,1.9495999481478066e-08,0.421987920999527,,3479
,,,,,,,0.0005,3480
58,1.8105053901672363,2.7841861248016357,1.810468316078186,3.747471055248752e-05,2.2036633851030274e-08,0.42991769313812256,,3539
,,,,,,,0.0005,3540
59,1.7910739183425903,2.783454418182373,1.7910343408584595,3.953578197979368e-05,1.7086346559835874e-08,0.4339096248149872,,3599
,,,,,,,0.0005,3600
60,1.7910027503967285,2.7874257564544678,1.7909612655639648,4.161748438491486e-05,2.449828286898992e-07,0.4017968773841858,,3659
,,,,,,,0.0005,3660
61,1.7943013906478882,2.783327579498291,1.7942593097686768,4.211894338368438e-05,1.5863966140727825e-08,0.365997314453125,,3719
,,,,,,,0.0005,3720
62,1.8015897274017334,2.7841084003448486,1.8015453815460205,4.401448313728906e-05,2.4575184554009866e-08,0.3689359426498413,,3779
,,,,,,,0.0005,3780
63,1.7848119735717773,2.781660556793213,1.7847660779953003,4.5914959628134966e-05,1.0275574169327228e-07,0.3843383491039276,,3839
,,,,,,,0.0005,3840
64,1.786486029624939,2.7740635871887207,1.7864357233047485,4.694854578701779e-05,3.546857897163136e-06,0.36551201343536377,,3899
,,,,,,,0.0005,3900
