epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
,,,,,,,0.0005,0
0,266.5489807128906,3.2086009979248047,264.442138671875,0.160625621676445,1.9462462663650513,0.021501896902918816,,59
,,,,,,,0.0005,60
1,2.7214548587799072,3.387298583984375,2.7194106578826904,0.00041951899765990674,0.0016248987521976233,0.025238309055566788,,119
,,,,,,,0.0005,120
2,2.3900671005249023,3.1304047107696533,2.3897628784179688,0.00011646060011116788,0.00018766865832731128,0.054561011493206024,,179
,,,,,,,0.0005,180
3,2.3455615043640137,3.0826058387756348,2.3454794883728027,3.380679481779225e-05,4.8224184865830466e-05,0.07491927593946457,,239
,,,,,,,0.0005,240
4,2.3039004802703857,3.0371146202087402,2.3038530349731445,1.6233461792580783e-05,3.0827181035419926e-05,0.07766084372997284,,299
,,,,,,,0.0005,300
5,2.286034345626831,2.9756534099578857,2.286008596420288,1.0839028618647717e-05,1.5486037227674387e-05,0.08025924861431122,,359
,,,,,,,0.0005,360
6,2.277012586593628,2.909139394760132,2.276998996734619,8.71723659656709e-06,4.756087037094403e-06,0.08195427060127258,,419
,,,,,,,0.0005,420
7,2.2714943885803223,2.855886459350586,2.2714855670928955,7.85105203249259e-06,7.224003866213025e-07,0.0823296532034874,,479
,,,,,,,0.0005,480
8,2.268036365509033,2.829183578491211,2.268028497695923,7.398371053568553e-06,6.139231345514418e-08,0.08342369645833969,,539
,,,,,,,0.0005,540
9,2.265875816345215,2.8188111782073975,2.265869140625,7.101966730260756e-06,9.813323487151138e-09,0.0847296193242073,,599
,,,,,,,0.0005,600
10,2.265228271484375,2.813751697540283,2.265221357345581,6.829208814451704e-06,3.9161878184756915e-09,0.08569808304309845,,659
,,,,,,,0.0005,660
11,2.265718698501587,2.8106071949005127,2.2657124996185303,6.495773050119169e-06,2.3066248910907916e-09,0.08666995912790298,,719
,,,,,,,0.0005,720
12,2.265110731124878,2.8085756301879883,2.265104293823242,6.3133848016150296e-06,1.97499283594027e-09,0.08811747282743454,,779
,,,,,,,0.0005,780
13,2.2656500339508057,2.807027578353882,2.265643835067749,6.149886303319363e-06,2.0467891825859397e-09,0.08720458298921585,,839
,,,,,,,0.0005,840
14,2.2646121978759766,2.8058173656463623,2.264606237411499,6.181073786137858e-06,2.046572022962323e-09,0.08613954484462738,,899
,,,,,,,0.0005,900
15,2.2631752490997314,2.8049185276031494,2.263169527053833,6.28760199106182e-06,2.2771675656230173e-09,0.08556874841451645,,959
,,,,,,,0.0005,960
16,2.2621009349823,2.8040480613708496,2.262094736099243,6.338463663269067e-06,2.4338944193402767e-09,0.08629535883665085,,1019
,,,,,,,0.0005,1020
