epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
,,,,,,,0.0005,0
0,1561721472.0,2.8180811405181885,1561680896.0,0.1341121345758438,40631.671875,16.230445861816406,,59
,,,,,,,0.0005,60
1,1525396736.0,2.813350200653076,1525322624.0,19.15070915222168,74049.421875,86.59508514404297,,119
,,,,,,,0.0005,120
2,1498537728.0,2.80355167388916,1498505856.0,64.32801818847656,32035.154296875,132.29417419433594,,179
,,,,,,,0.0005,180
3,1484307328.0,2.8028457164764404,1484269056.0,77.5337142944336,38711.265625,151.9542236328125,,239
,,,,,,,0.0005,240
4,1473470848.0,2.8026602268218994,1473456384.0,71.1832504272461,14061.453125,150.77182006835938,,299
,,,,,,,0.0005,300
5,1461257472.0,2.8025686740875244,1461244160.0,56.95902633666992,13520.7490234375,133.65748596191406,,359
,,,,,,,0.0005,360
6,1448569856.0,2.8019015789031982,1448552448.0,53.0647087097168,17599.125,119.78008270263672,,419
,,,,,,,0.0005,420
7,1436388992.0,2.801226854324341,1436298240.0,73.20280456542969,90693.7578125,123.48052215576172,,479
,,,,,,,0.0005,480
8,1427702144.0,2.8008675575256348,1427606528.0,100.69066619873047,95919.640625,126.72575378417969,,539
,,,,,,,0.0005,540
9,1417413632.0,2.800701141357422,1417310464.0,131.6726531982422,103328.8671875,134.99325561523438,,599
,,,,,,,0.0005,600
10,1410153984.0,2.8012990951538086,1409993984.0,159.467529296875,160168.390625,138.65892028808594,,659
,,,,,,,0.0005,660
11,1402424064.0,2.8016796112060547,1402354304.0,186.9452362060547,69549.1171875,146.7344207763672,,719
,,,,,,,0.0005,720
12,1396143104.0,2.8061745166778564,1395924608.0,210.6417236328125,218269.625,152.60342407226562,,779
,,,,,,,0.0005,780
13,1388865408.0,2.7997190952301025,1388615296.0,233.60543823242188,249991.984375,159.21327209472656,,839
,,,,,,,0.0005,840
14,1383029120.0,2.8039052486419678,1382952704.0,255.57696533203125,76231.7421875,165.322509765625,,899
,,,,,,,0.0005,900
15,1378635520.0,2.803340196609497,1378567680.0,278.55706787109375,67753.5078125,169.04087829589844,,959
,,,,,,,0.0005,960
16,1374360192.0,2.801112413406372,1374238080.0,301.1768798828125,122118.9140625,175.31927490234375,,1019
,,,,,,,0.0005,1020
17,1371337088.0,2.806239604949951,1371167872.0,317.4756164550781,168216.25,177.01113891601562,,1079
,,,,,,,0.0005,1080
18,1367560832.0,2.8027427196502686,1367517952.0,334.496826171875,42624.41796875,181.63775634765625,,1139
,,,,,,,0.0005,1140
19,1363690880.0,2.802551746368408,1363465088.0,353.2643737792969,225396.96875,184.9248504638672,,1199
,,,,,,,0.0005,1200
20,1359975168.0,2.802579641342163,1359872512.0,368.7811279296875,102724.0234375,191.9698486328125,,1259
,,,,,,,0.0005,1260
21,1357739648.0,2.802142858505249,1357636480.0,383.5580749511719,103059.328125,195.0560760498047,,1319
,,,,,,,0.0005,1320
22,1354967296.0,2.8034071922302246,1354928256.0,398.927490234375,38152.52734375,196.63433837890625,,1379
,,,,,,,0.0005,1380
23,1352934016.0,2.805516242980957,1352728960.0,412.6493225097656,204665.6875,199.0578155517578,,1439
,,,,,,,0.0005,1440
24,1349879040.0,2.80379581451416,1349776640.0,426.33770751953125,102057.3515625,206.2707061767578,,1499
,,,,,,,0.0005,1500
25,1348138624.0,2.8027689456939697,1347960576.0,438.7748718261719,177438.296875,201.39849853515625,,1559
,,,,,,,0.0005,1560
26,1346560512.0,2.8047006130218506,1346423040.0,446.0850524902344,137235.578125,219.34193420410156,,1619
,,,,,,,0.0005,1620
27,1348251136.0,2.805232524871826,1347887616.0,448.7151794433594,363359.65625,212.89224243164062,,1679
,,,,,,,0.0005,1680
28,1344552704.0,2.804021120071411,1344462720.0,447.7679138183594,89461.234375,211.92750549316406,,1739
,,,,,,,0.0005,1740
29,1344397184.0,2.8026371002197266,1343967232.0,450.1780090332031,429452.96875,204.76242065429688,,1799
,,,,,,,0.0005,1800
30,1343485312.0,2.803337812423706,1343348352.0,453.9007568359375,136174.375,222.40785217285156,,1859
,,,,,,,0.0005,1860
31,1344896128.0,2.8031654357910156,1344839296.0,460.5536804199219,56643.68359375,217.32595825195312,,1919
,,,,,,,0.0005,1920
32,1342358528.0,2.8031504154205322,1342287872.0,468.74090576171875,70119.0859375,216.39608764648438,,1979
,,,,,,,0.0005,1980
33,1341902976.0,2.8039562702178955,1341815296.0,476.41973876953125,87317.890625,213.5334930419922,,2039
,,,,,,,0.0005,2040
34,1341150080.0,2.80307936668396,1341031296.0,481.25775146484375,118496.2578125,220.7879180908203,,2099
,,,,,,,0.0005,2100
35,1340260096.0,2.8038330078125,1340178048.0,487.55926513671875,81660.1171875,220.25318908691406,,2159
,,,,,,,0.0005,2160
36,1339406464.0,2.8040947914123535,1339338496.0,492.6202087402344,67759.453125,222.6503143310547,,2219
,,,,,,,0.0005,2220
37,1339804032.0,2.80368709564209,1339438080.0,495.7304992675781,365872.03125,213.71768188476562,,2279
,,,,,,,0.0005,2280
38,1338593280.0,2.8028128147125244,1338478976.0,498.83233642578125,113905.8125,234.05917358398438,,2339
,,,,,,,0.0005,2340
39,1341406464.0,2.8037867546081543,1341392640.0,502.8724060058594,12956.8203125,220.86819458007812,,2399
,,,,,,,0.0005,2400
40,1337982848.0,2.8037712574005127,1337964288.0,510.740966796875,18109.802734375,237.2932891845703,,2459
,,,,,,,0.0005,2460
41,1341225472.0,2.806208372116089,1340736512.0,513.3204345703125,488494.125,231.52798461914062,,2519
,,,,,,,0.0005,2520
