epoch,internal/smma_improvement,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
,,,,,,,,,,,,0.0005,,0
0,,2.0250439643859863,0.040754422545433044,0.040754422545433044,0.36153146624565125,0.24267414212226868,0.11885733157396317,1.6227576732635498,0.005362264811992645,0.010865314863622189,,,0.49491676688194275,45
,,,,,,,,,,,,0.0005,,46
1,,0.04325961321592331,0.01760714501142502,0.01760714501142502,0.00867678876966238,0.008081438951194286,0.0005953515646979213,0.016975678503513336,0.00010064234083984047,6.911445234436542e-05,,,0.49078837037086487,91
,,,,,,,,,,,,0.0005,,92
2,,0.020563390105962753,0.010377515107393265,0.010377515107393265,0.0007510684081353247,0.0004964557010680437,0.00025461302720941603,0.009434808045625687,3.143038338748738e-05,6.291770114330575e-05,,,0.4822952449321747,137
,,,,,,,,,,,,0.0005,,138
3,,0.013909371569752693,0.009434379637241364,0.009434379637241364,0.00021055563411209732,0.00016366054478567094,4.689507477451116e-05,0.004264436196535826,1.2130623872508295e-05,3.0513729143422097e-05,,,0.478387713432312,183
,,,,,,,,,,,,0.0005,,184
4,,0.012354006990790367,0.009421976283192635,0.009421976283192635,8.165805047610775e-05,6.868299533380195e-05,1.2975036952411756e-05,0.0028503709472715855,5.839791356265778e-06,2.266391493321862e-05,,,0.4758138358592987,229
,,,,,,,,,,,,0.0005,,230
5,,0.011452434584498405,0.009320066310465336,0.009320066310465336,4.833111961488612e-05,3.891988308168948e-05,9.411235623701941e-06,0.0020840384531766176,3.900172032444971e-06,1.6940215573413298e-05,,,0.4736429452896118,275
,,,,,,,,,,,,0.0005,,276
6,,0.011765221133828163,0.009754209779202938,0.009754209779202938,2.6972247724188492e-05,1.927323501149658e-05,7.699015441176016e-06,0.0019840423483401537,1.455914002690406e-06,1.8384507711743936e-05,,,0.47112128138542175,321
,,,,,,,,,,,,0.0005,,322
7,,0.010689209215342999,0.009388933889567852,0.009388933889567852,3.157477476634085e-05,1.28721021610545e-05,1.8702672605286352e-05,0.0012687044218182564,2.1698822365578962e-06,1.0517162991163787e-05,,,0.46909603476524353,367
,,,,,,,,,,,,0.0005,,368
8,,0.011005254462361336,0.009549573995172977,0.009549573995172977,3.42369603458792e-05,1.3174044397601392e-05,2.1062911400804296e-05,0.001421444583684206,1.6875206938493648e-06,1.2526923455880024e-05,,,0.4660699665546417,413
,,,,,,,,,,,,0.0005,,414
9,,0.010724794119596481,0.009312058798968792,0.009312058798968792,2.0401394067448564e-05,1.2911953490402084e-05,7.489441941288533e-06,0.0013923353981226683,2.3765865080349613e-06,1.1546767382242251e-05,,,0.46329373121261597,459
,,,,,,,,,,,,0.0005,,460
10,,0.010289513505995274,0.008955564349889755,0.008955564349889755,3.278940130257979e-05,1.4404623470909428e-05,1.838477692217566e-05,0.0013011585688218474,3.0505721042572986e-06,9.961014256987255e-06,,,0.45757365226745605,505
,,,,,,,,,,,,0.0005,,506
11,,0.010080513544380665,0.008880765177309513,0.008880765177309513,3.896947964676656e-05,1.8221926438855007e-05,2.0747555026900955e-05,0.0011607786873355508,4.4159896788187325e-06,7.191797521954868e-06,,,0.4465031027793884,551
,,,,,,,,,,,,0.0005,,552
12,,0.009680542163550854,0.008735769428312778,0.008735769428312778,3.482131432974711e-05,1.8035370885627344e-05,1.6785943444119766e-05,0.0009099526796489954,3.475993480606121e-06,5.623534889309667e-06,,,0.4322693645954132,597
,,,,,,,,,,,,0.0005,,598
13,,0.009308856911957264,0.008519762195646763,0.008519762195646763,1.956190862983931e-05,1.624014475964941e-05,3.3217565942322835e-06,0.0007695321110077202,3.716011406140751e-06,3.979308530688286e-06,,,0.41628870368003845,643
,,,,,,,,,,,,0.0005,,644
14,,0.009226805530488491,0.00821512658149004,0.00821512658149004,1.6524143575225025e-05,1.3977477465232369e-05,2.5466683837294113e-06,0.0009951569372788072,2.534553914301796e-06,7.4170147854601964e-06,,,0.40068283677101135,689
,,,,,,,,,,,,0.0005,,690
15,,0.008878509514033794,0.008107263594865799,0.008107263594865799,1.7146503523690626e-05,1.3207421034167055e-05,3.939082489523571e-06,0.0007541002705693245,2.5496626676613232e-06,4.991340119886445e-06,,,0.38851994276046753,735
,,,,,,,,,,,,0.0005,,736
16,,0.008807502686977386,0.007906393148005009,0.007906393148005009,1.4424933397094719e-05,1.2436637916835025e-05,1.988295480259694e-06,0.0008866836433298886,1.983496304092114e-06,6.883340574859176e-06,,,0.37585851550102234,781
,,,,,,,,,,,,0.0005,,782
17,,0.008677818812429905,0.007935536094009876,0.007935536094009876,1.4871885468892287e-05,1.1425992852309719e-05,3.4458926165825687e-06,0.0007274093222804368,2.8906413263030117e-06,4.383452051115455e-06,,,0.36372798681259155,827
,,,,,,,,,,,,0.0005,,828
18,,0.008648824878036976,0.00811337772756815,0.00811337772756815,1.1644570804492105e-05,1.021095613396028e-05,1.4336125104819075e-06,0.000523803464602679,1.7145093806902878e-06,3.523525037962827e-06,,,0.35058897733688354,873
,,,,,,,,,,,,0.0005,,874
19,,0.008333154022693634,0.007731676567345858,0.007731676567345858,1.2616308595170267e-05,1.0295567335560918e-05,2.320740804861998e-06,0.000588860537391156,1.534355078547378e-06,4.354249540483579e-06,,,0.34046390652656555,919
,,,,,,,,,,,,0.0005,,920
20,,0.008157223463058472,0.007642132230103016,0.007642132230103016,1.2135061297158245e-05,1.0020112313213758e-05,2.1149503481865395e-06,0.0005029560416005552,1.399407892677118e-06,3.630153742051334e-06,,,0.33069708943367004,965
,,,,,,,,,,,,0.0005,,966
21,,0.00822601281106472,0.007776296231895685,0.007776296231895685,1.0246271813230123e-05,8.221704774769023e-06,2.024568857450504e-06,0.0004394721472635865,1.2477879636207945e-06,3.146933977404842e-06,,,0.3222793936729431,1011
,,,,,,,,,,,,0.0005,,1012
22,,0.008138141594827175,0.007769423071295023,0.007769423071295023,8.630877346149646e-06,8.013164915610105e-06,6.177096452120168e-07,0.0003600876370910555,1.0683297659852542e-06,2.532546659494983e-06,,,0.31326156854629517,1057
,,,,,,,,,,,,0.0005,,1058
23,,0.008045677095651627,0.007663853000849485,0.007663853000849485,8.391706614929717e-06,7.520351118728286e-06,8.713550982974994e-07,0.0003734333149623126,9.992229479394155e-07,2.735110456342227e-06,,,0.30713456869125366,1103
,,,,,,,,,,,,0.0005,,1104
24,,0.007999581284821033,0.007654614746570587,0.007654614746570587,8.612953024567105e-06,7.203601853689179e-06,1.4093506024437374e-06,0.00033635320141911507,7.419090479743318e-07,2.621623707455001e-06,,,0.301057904958725,1149
,,,,,,,,,,,,0.0005,,1150
25,,0.007835610769689083,0.00754763325676322,0.00754763325676322,6.508204933197703e-06,6.228169240785064e-06,2.8003540819554473e-07,0.0002814668114297092,8.96917072168435e-07,1.9177507510903524e-06,,,0.2969166338443756,1195
,,,,,,,,,,,,0.0005,,1196
26,,0.007857253775000572,0.007554303854703903,0.007554303854703903,5.943684755038703e-06,5.5806804084568284e-06,3.6300326655691606e-07,0.000297005579341203,9.004697858472355e-07,2.0695861167041585e-06,,,0.2930160462856293,1241
,,,,,,,,,,,,0.0005,,1242
27,,0.00781925581395626,0.007537164259701967,0.007537164259701967,5.681833044945961e-06,5.261286332824966e-06,4.2054503524013853e-07,0.00027640967164188623,8.095577186395531e-07,1.95453867490869e-06,,,0.28935176134109497,1287
,,,,,,,,,,,,0.0005,,1288
28,,0.007740284316241741,0.007476551923900843,0.007476551923900843,5.213955773797352e-06,4.9047348511521704e-06,3.0921981419851363e-07,0.00025851622922345996,8.327414775521902e-07,1.7524203030916397e-06,,,0.28612804412841797,1333
,,,,,,,,,,,,0.0005,,1334
29,,0.00771309481933713,0.007455625105649233,0.007455625105649233,4.911450105282711e-06,4.561485184240155e-06,3.499652621030691e-07,0.00025255707441829145,8.345026003553357e-07,1.6910680642467923e-06,,,0.2838348150253296,1379
,,,,,,,,,,,,0.0005,,1380
30,,0.007769567426294088,0.007282971870154142,0.007282971870154142,5.314671398082282e-06,4.247040578775341e-06,1.067630705620104e-06,0.00048127947957254946,5.778112495136156e-07,4.234983862261288e-06,,,0.28217217326164246,1425
,,,,,,,,,,,,0.0005,,1426
