epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
,,,,,,,,,,,0.0005,,0
0,0.4554953873157501,0.04149206727743149,0.04149206727743149,0.2947656810283661,0.22892211377620697,0.06584357470273972,0.11923778802156448,0.000661008816678077,0.0005313685396686196,,,0.4954555928707123,45
,,,,,,,,,,,0.0005,,46
1,0.05393930897116661,0.017985206097364426,0.017985206097364426,0.011270292103290558,0.009353847242891788,0.0019164473051205277,0.02468382753431797,0.00011262075713602826,0.00013421748008113354,,,0.4950753152370453,91
,,,,,,,,,,,0.0005,,92
2,0.026878364384174347,0.013135355897247791,0.013135355897247791,0.002332784002646804,0.0018412817735224962,0.0004915024619549513,0.011410224251449108,5.1436574722174555e-05,6.266568379942328e-05,,,0.48994362354278564,137
,,,,,,,,,,,0.0005,,138
3,0.016195189207792282,0.01062014326453209,0.01062014326453209,0.0004499271744862199,0.00034692962071858346,0.00010299756831955165,0.005125121679157019,2.0731427866849117e-05,3.051979001611471e-05,,,0.48045140504837036,183
,,,,,,,,,,,0.0005,,184
4,0.011611664667725563,0.009750203229486942,0.009750203229486942,6.796123489039019e-05,6.305750139290467e-05,4.903732133243466e-06,0.001793497707694769,4.512039595283568e-06,1.3422939446172677e-05,,,0.4761083424091339,229
,,,,,,,,,,,0.0005,,230
5,0.012708984315395355,0.009764314629137516,0.009764314629137516,3.4413504181429744e-05,2.7091733500128612e-05,7.32177477402729e-06,0.002910258714109659,2.0081586171727395e-06,2.7094427423435263e-05,,,0.47417038679122925,275
,,,,,,,,,,,0.0005,,276
6,0.012188514694571495,0.009592385031282902,0.009592385031282902,2.787971607176587e-05,2.0913306798320264e-05,6.966415185161168e-06,0.0025682535488158464,2.0555085029627662e-06,2.3627024347661063e-05,,,0.47331660985946655,321
,,,,,,,,,,,0.0005,,322
7,0.011913340538740158,0.009765624068677425,0.009765624068677425,2.1310197553248145e-05,1.7266369468416087e-05,4.0438276300847065e-06,0.0021264036186039448,1.3498702173819765e-06,1.991416502278298e-05,,,0.4723443388938904,367
,,,,,,,,,,,0.0005,,368
8,0.011315921321511269,0.009617948904633522,0.009617948904633522,1.798437733668834e-05,1.458044152968796e-05,3.4039387628581608e-06,0.0016799853183329105,1.6029234757297672e-06,1.5196929780358914e-05,,,0.4714398980140686,413
,,,,,,,,,,,0.0005,,414
9,0.013590280897915363,0.009864849038422108,0.009864849038422108,2.034485987678636e-05,1.1408054888306651e-05,8.936804988479707e-06,0.003705087350681424,7.331412348321464e-07,3.631772779044695e-05,,,0.470120370388031,459
,,,,,,,,,,,0.0005,,460
10,0.012699134647846222,0.009683986194431782,0.009683986194431782,1.5340679965447634e-05,1.0593279512249865e-05,4.747399088955717e-06,0.002999807009473443,1.1909576187463244e-06,2.8807113267248496e-05,,,0.46951034665107727,505
,,,,,,,,,,,0.0005,,506
11,0.012120669707655907,0.009778057225048542,0.009778057225048542,1.2630819583137054e-05,9.022277481562924e-06,3.608540964705753e-06,0.0023299807216972113,8.844078251968313e-07,2.2415399143937975e-05,,,0.46817731857299805,551
,,,,,,,,,,,0.0005,,552
12,0.011377309449017048,0.00961985532194376,0.00961985532194376,1.208713547384832e-05,8.344010893779341e-06,3.7431229884532513e-06,0.00174536625854671,1.2054100579916849e-06,1.6248253814410418e-05,,,0.466799259185791,597
,,,,,,,,,,,0.0005,,598
13,0.010295933112502098,0.00969121977686882,0.00969121977686882,1.1729495781764854e-05,7.78736466600094e-06,3.942129751521861e-06,0.0005929840845055878,1.0954092886095168e-06,4.834430910705123e-06,,,0.46407026052474976,643
,,,,,,,,,,,0.0005,,644
14,0.009910323657095432,0.009462371468544006,0.009462371468544006,1.0241260497423355e-05,7.773349352646619e-06,2.467911372150411e-06,0.0004377102304715663,1.7199363355757669e-06,2.657165850905585e-06,,,0.45832788944244385,689
,,,,,,,,,,,0.0005,,690
15,0.009718520566821098,0.009325426071882248,0.009325426071882248,1.2286587661947124e-05,8.997673830890562e-06,3.288913148935535e-06,0.0003808088367804885,2.0919128473906312e-06,1.7161750065497472e-06,,,0.4475284516811371,735
,,,,,,,,,,,0.0005,,736
16,0.009535462595522404,0.009074071422219276,0.009074071422219276,1.0508420018595643e-05,9.489088370173704e-06,1.0193316484219395e-06,0.000450885301688686,2.635732471389929e-06,1.8731207092059776e-06,,,0.4338265359401703,781
,,,,,,,,,,,0.0005,,782
17,0.009394916705787182,0.008834070526063442,0.008834070526063442,1.1371260370651726e-05,9.510962627246045e-06,1.8602988802740583e-06,0.000549471820704639,2.7917458282900043e-06,2.7029725515603786e-06,,,0.4157833456993103,827
