epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,0.0005,0
0,2.232156276702881,0.08209539949893951,0.4187285006046295,1.7313318252563477,,,45
,,,,,,0.0005,46
1,0.025134818628430367,0.017752112820744514,0.002012619050219655,0.005370086058974266,,,91
,,,,,,0.0005,92
2,0.01804475300014019,0.018031299114227295,2.6462594178155996e-06,1.080831771105295e-05,,,137
,,,,,,0.0005,138
3,0.01803087815642357,0.01801704615354538,1.7713011857267702e-06,1.206007982545998e-05,,,183
,,,,,,0.0005,184
4,0.018008572980761528,0.01798197813332081,3.941464910894865e-06,2.2658643501927145e-05,,,229
,,,,,,0.0005,230
5,0.017974605783820152,0.017860904335975647,1.5414780136779882e-05,9.828235488384962e-05,,,275
,,,,,,0.0005,276
6,0.017962001264095306,0.017850451171398163,2.275904807902407e-05,8.879043161869049e-05,,,321
,,,,,,0.0005,322
7,0.017939258366823196,0.01782466284930706,2.984035927511286e-05,8.475687354803085e-05,,,367
,,,,,,0.0005,368
8,0.017916545271873474,0.017795991152524948,4.478603295865469e-05,7.576790812890977e-05,,,413
,,,,,,0.0005,414
9,0.017880119383335114,0.017733117565512657,7.518830534536391e-05,7.181834371294826e-05,,,459
,,,,,,0.0005,460
10,0.017840825021266937,0.017674226313829422,0.00012046185293002054,4.61331510450691e-05,,,505
,,,,,,0.0005,506
11,0.01779118739068508,0.01757216826081276,0.00017088951426558197,4.81299139210023e-05,,,551
,,,,,,0.0005,552
12,0.017740096896886826,0.017512129619717598,0.00018799598910845816,3.9966162148630247e-05,,,597
,,,,,,0.0005,598
13,0.017679736018180847,0.017391804605722427,0.00022755094687454402,6.0378326452337205e-05,,,643
,,,,,,0.0005,644
14,0.017623160034418106,0.017338410019874573,0.0002290544071001932,5.569892164203338e-05,,,689
,,,,,,0.0005,690
15,0.01754307933151722,0.017206812277436256,0.00026891817105934024,6.735021452186629e-05,,,735
,,,,,,0.0005,736
16,0.017480531707406044,0.017143933102488518,0.0002751894935499877,6.141197081888095e-05,,,781
,,,,,,0.0005,782
17,0.017421260476112366,0.017058758065104485,0.0003023992758244276,6.010168362990953e-05,,,827
,,,,,,0.0005,828
18,0.017379429191350937,0.01700800098478794,0.00031465356005355716,5.677646186086349e-05,,,873
,,,,,,0.0005,874
19,0.017337821424007416,0.016948170959949493,0.0003364616713952273,5.318527473718859e-05,,,919
,,,,,,0.0005,920
20,0.017269693315029144,0.016866670921444893,0.00035781951737590134,4.5206688810139894e-05,,,965
,,,,,,0.0005,966
21,0.01722497120499611,0.01680452562868595,0.0003772903000935912,4.315303158364259e-05,,,1011
,,,,,,0.0005,1012
22,0.017187004908919334,0.016756612807512283,0.00038901588413864374,4.1377454181201756e-05,,,1057
,,,,,,0.0005,1058
23,0.01715013012290001,0.01670682802796364,0.00039945036405697465,4.385117063065991e-05,,,1103
,,,,,,0.0005,1104
24,0.017064571380615234,0.01665540039539337,0.0003649330174084753,4.4236003304831684e-05,,,1149
